candidate,state,population_2018
Kevin de Leá½¹n,California,39557045
Matthew Corey,Connecticut,3572665
Ron Curtis,Hawaii,1420491
Mike Braun,Indiana,6691878
Eric Brakey,Maine,1338404
Geoff Diehl,Massachusetts,6902149
Josh Hawley,Missouri,6126452
Matt Rosendale,Montana,1062305
Deb Fischer,Nebraska,1929268
Dean Heller,Nevada,3034392
Mick Rich,New Mexico,2095428
Chele Farley,New York,19542209
Jim Renacci,Ohio,11689442
Bob Flanders,Rhode Island,1057315
Marsha Blackburn,Tennessee,6770010
Senator Ted Cruz,Texas,28701845
Mitt Romney,Utah,3161105
Corey Stewart,Virginia,8517685
Susan Hutchison,Washington,7535591
Leah Vukmir,Wisconsin,5813568
Sen. John Barrasso,Wyoming,577737
Sen Dianne Feinstein,California,39557045
Chris Murphy,Connecticut,3572665
Senator Tom Carper,Delaware,967171
Bill Nelson,Florida,21299325
Senator Mazie Hirono,Hawaii,1420491
Archive: Senator Joe Donnelly,Indiana,6691878
Senator Ben Cardin,Maryland,6042718
Elizabeth Warren,Massachusetts,6902149
Debbie Stabenow,Michigan,9995915
David Baria,Mississippi,2986530
Claire McCaskill,Missouri,6126452
Jon Tester,Montana,1062305
Jane Raybould,Nebraska,1929268
Jacky Rosen,Nevada,3034392
Menendez for NJ,New Jersey,8908520
Martin Heinrich,New Mexico,2095428
Kirsten Gillibrand,New York,19542209
Sherrod Brown,Ohio,11689442
Bob Casey Jr.,Pennsylvania,12807060
Sheldon Whitehouse,Rhode Island,1057315
Phil Bredesen,Tennessee,6770010
Beto O'Rourke,Texas,28701845
Jenny Wilson,Utah,3161105
Tim Kaine,Virginia,8517685
Sen. Maria Cantwell,Washington,7535591
Senator Joe Manchin,West Virginia,1805832
Sen. Tammy Baldwin,Wisconsin,5813568
Gary Trauner for U.S. Senate,Wyoming,577737